rating,product,rev_title,rev_body
1.0,"Fitbit Inspire 2 Health & Fitness Tracker with a Free 1-Year Fitbit Premium Trial, 24/7 Heart Rate, Black/Black, One Size (S & L Bands Included)",Buzzes too much :/,"Pros:-HR seems very accurate-I love almost all the new features-Syncs well with iOS 14-Picks up on a lot of stuff and is very accurate-Comfy and looks nice, isn’t too bigCons:-Every time I move my hand back (pic above) it buzzes and turns on and off and it’s ANNOYING!! And it messes with features, such as; the timer when I’m running, going back to the Home Screen, and going to the settings. And it does that in my sleep.-So the way to fix this is to wear it higher on my wrist/forearm... but that’s not as comfortable.-I’ve only had it for a day and I want to try it out for at least a week... but that’s just a dumb feature. I’d rather just tap the top to turn it on than press the sides. Who came up with that?- I don’t like that I run for 30 minutes but it changes it to a higher number because “active zone” or whatever gives you 2x the minutes. If I run for 30 minutes... I run for 30 minutes! It says I exercised for 99 minutes... but I only did 69 minutes. It gave me 2x the minutes. That’s just dumb and confusing.- I also don’t like that I can’t zoom in on my sleeping log and see the graph.Update: I’m returning it"
1.0,"Fitbit Inspire 2 Health & Fitness Tracker with a Free 1-Year Fitbit Premium Trial, 24/7 Heart Rate, Black/Black, One Size (S & L Bands Included)","If you're looking for a minimalist activity tracker and heart rate monitor, this isn't it","I chose the Inspire 2 because it was the bottom of the line fitbit product. I wanted the least fancy, least capable device.  All I want is time, steps and heartrate.  This device is chummed full of other features and the user interface sucks.  It takes no fewer than 6 separate taps or swipes to get to a screen displaying my heart rate.  Apparently, there's not a way to display heart rate on the home screen. The library of clock faces listed in the fitbit app include some with heartrate - none of them available for the Inspire 2. (see photo) Furthermore, the font size of the display is too tiny to read when in motion. Updating the device software requires keeping your phone nearby and open to the fitbit app for 30 minutes. (more evidence in support of the ""user interface sucks"" comment). No directions come with the device. Help.fitbit.com is vague, poorly written and no help.  Instead of a minimalist, functional device, the Inspire 2 tries to do everything and does it all poorly."
1.0,"Fitbit Inspire 2 Health & Fitness Tracker with a Free 1-Year Fitbit Premium Trial, 24/7 Heart Rate, Black/Black, One Size (S & L Bands Included)",Disappointing,Very disappointed. Have the Alta hr and love its design but just shake your arm and get all your steps in. I was hoping the inspire 2 would not do that but it does. Waste of money. Will be returning.
1.0,"Fitbit Inspire 2 Health & Fitness Tracker with a Free 1-Year Fitbit Premium Trial, 24/7 Heart Rate, Black/Black, One Size (S & L Bands Included)","Beware, you may not get your FitBit Premium Trial","I upgraded from the Inspire HR because the 12 months of premium service included with the Inspire 2 seemed to justify the investment. However, now I'm being told by Fitbit support that I am ineligible because I used a 1-month Premium trial more than a year ago with my Inspire HR. Thus, I no longer count as a ""new Premium customer"", despite never having paid for Premium.Dear FitBit team, please share this information with people BEFORE they buy your hardware. I will return the device as a matter of principle, because I'm not supporting deceptive marketing practices.I hope others do the same. We shouldn't let them get away with this.EDIT: I finally returned the device after Fitbit has not addressed my concerns for >2 months. I’m still waiting for a response from their specialist team ..."
1.0,"Fitbit Inspire 2 Health & Fitness Tracker with a Free 1-Year Fitbit Premium Trial, 24/7 Heart Rate, Black/Black, One Size (S & L Bands Included)",It works so intermittently it feels like an untested release,"I've had two other Fitbits, the Flex 2 and the Versa. The Flex 2 was amazing. It doesn't have a digital face, it's just the ""bean"" sitting inside the wrist holder. It tracked my steps perfectly and it never failed to give a vibration notification for a text. One of my favorite parts of having a Fitbit is the silent vibration notifications, I much prefer that to having an audible ding or tone that disrupts the environment. Plus in a professional setting knowing you'll not be interrupted ever brings peace of mind. I moved to the Versa thinking it would be nice to have the time and other functions on the wrist again. It worked great, tracked the steps at the same tempo, all notifications came through, and it never froze in the water lock state. I just didn't like having a full watch after having the slim line Flex 2 for 2+ years so I looked at this Inspire 2. It's only a smidge bigger than the Flex 2 was in it's band, so it gets some points there. That's where the points end tho. It fails on notifications intermittently. Sometimes a text will vibrate through, and sometimes it doesn't. There's no rhyme or reason as to why it just stops. I've tried force closing and resyncing the app, restarting my phone, nothing makes it better it just decides to work again at some point. I've had nothing but trouble getting it off of water lock mode. Which is a must when showering or it'll freak out and start hopping menus and such. Sometimes a couple of good taps and the menu to un-water lock pops up, sometimes you have to tap it 20+ times and still nothing. Then in a few minutes it turns its own screen on and works again. The raise to wake function I keep turning off but it keeps defaulting to back on. The sensors on the side are intermittent whether or not they'll activate the screen on touch. It gives haptic feedback when it works and sometimes it's just plain dead. Sometimes it won't sync to the app so I'll shut the app down and re-sync. The steps are MUCH different than the other two which I wore for over 3 years so I have a really good idea of what a normal day looks like for me. At best it seems to track sluggishly, the numbers are way under. The band it comes with doesn't sit on the wrist correctly, and lots of folks have mentioned it giving them rashes. All in all this is only my third experience with Fitbit, I'll try one more probably as I lost the Flex 2 and the Versa I sold to pay for this one, but if this is indicative of their products outside of a bare bones Flex or a flagship Versa then I may not bother wearing one any more. I hardly ever win the step competitions anyway! Both the other Fitbits I turned on and they worked close to 100% of the time with no issue, this one is maybe 50% of the time with lots of fenagling and effort. Not worth the cost."
1.0,"Fitbit Inspire 2 Health & Fitness Tracker with a Free 1-Year Fitbit Premium Trial, 24/7 Heart Rate, Black/Black, One Size (S & L Bands Included)",Terrible product if you just want a wrist based heart rate monitor and not wrist based spyware.,"All I wanted was a reliable watch that tells me my heart rate. This highly invasive device doesn't work out of the box, requires a cell phone (the Windows software doesn't work, and is still flashing a message about not finding an internet connection, even as I write this and stream videos.) I want one very simple thing: to make sure my heart rate doesn't go too high without having to carry a fingertip pulse oximeter around with me. This device refuse to let me do this basic task without information overshare and buying a tablet or iPhone that supports its app to get the watch past its initial setup screen. I should not have to login to use a watch. I will never buy a fitbit product again."
1.0,"Fitbit Inspire 2 Health & Fitness Tracker with a Free 1-Year Fitbit Premium Trial, 24/7 Heart Rate, Black/Black, One Size (S & L Bands Included)",Awful,"This was horrible. Im so disappointed since I've been buying fitbits for 8 years now...Physical design: its bulky and sits away from your wrist. It put pressure on my wrist in a way that made my hand tingle unless I wore it VERY loose. So loose that the HR tracking didn't work. The slim ""against the skin"" feel of the Alta was WAY better. This one is cumbersome and in the way. Its just terrible. The new locking mechanism is horrid too. Flimsy and easy shaken loose.Touchscreen design: awful. Just terrible. Every movement causes it to vibrate! The buttons on the side to ""activate"" one of the menus is constantly being pressed by simple arm movements. And then this causes it to vibrate. WHICH YOU CAN STILL NOT TURN OFF.FITBIT, GET IT THROUGH YOUR THICK SKULLS THAT WE WANT THE OPTION TO TURN OFF VIBRATIONS. WE HAVE BEEN WAITING YEARS.So I went to make myself a pita pocket and in that simple process it went to the ""menu"" and triple buzzed 14 times! This also meant that when I flicked my wrist to check the time... the menu was up, not the time. This was the deal breaker for me, as I work with kids and use a lot of arm movements.(The picture I attached is NOT the Inspire 2. I am already in the process of getting a refund. It is my old Alta. But THIS is how little you could bend your arm and the menu would start spazzing out and vibrating like crazy every 2-5 seconds. That simple bend was enough to make it think you were pinching the sides and activing a menu.)How was this thing green lit in any trials? I imagine if you are someone who works out you will slightly bend your wrist every few seconds doing something or other... so you want your health tracker vibrating and messing up all of your settings every time you lift? Seems like poor design skills to me.I'm sure this one functionally does fine, most fitbits work fine, but I am not keeping it long enough to test out the new battery life, how well HR monitor works, etc... The basic design flaw are enough to send me running.Fitbit: You guys really missed the mark considering if you had just taken the Alta design and made it touchscreen with a longer battery life your would be rolling in $. You could have kept the casing prints, saved tons of money on the airhead designers you obviously got for this round, and done so much better.Trust me, I like your app, I like the idea of your fitness trackers, but you all SUCK at design."
1.0,"Fitbit Inspire 2 Health & Fitness Tracker with a Free 1-Year Fitbit Premium Trial, 24/7 Heart Rate, Black/Black, One Size (S & L Bands Included)",Wrist Bands Suck,"Didn't even wear it once, before the buckle part of the band ripped through. Went to put it on for the very first time and and it ripped."
1.0,"Fitbit Inspire 2 Health & Fitness Tracker with a Free 1-Year Fitbit Premium Trial, 24/7 Heart Rate, Black/Black, One Size (S & L Bands Included)",Pay attention to the reviews before buying,"I really wanted to like the Inspire 2--most of the reviews were telling me to run away, fast. I should have paid attention.When I got the Inspire 2 out of the package, it was already at 1,765 steps. Which I figured out was probably from all the tumbling around in the box as it was being shipped and moved around.  I tried to reset it, but I could not figure it out, so I waited until the next day for it to reset the step counter.  I set up a sleep schedule and it was a perfect product for at least two days. It did everything I wanted it to do and more. The Premium subscription is amazing. They really thought of everything.  Mediation videos, food videos, so many videos, that are short and to the point. There are many groups to join too. So many different groups, people to cheer on and vice versa, and you can add friends from all over the world, and join their team for the week to pick up your step count. Everyone was so friendly and accommodating, and absolutely no trolling—so nice to be a part of a community of people who are all nice to one another cheering you on your goals.However, there is a problem with the one-year free subscription that comes with the Inspire 2.  There is not a selection to choose it on the Fitbit app. The choices I was given were a monthly subscription at $9.99, a Premium+Coaching (where you can get a personal coach to assist you on your health goals) for $54.99 for one month, or a Fitbit Premium Annual (1 year) for $79.99 –that frankly, all that they offer, it is an amazing deal. I would have totally paid for it after my free year just to keep all the extras they offer—but there was no option for a free year. So what is a girl to do?  I selected the only option available, three months free at which point it stated that my one year PAID subscription would begin on May 6.  I immediately contacted support and I was told to cancel the subscription and within 1-3 days, when I re-enrolled in the Premium subscription the one-year free would be there. But it wasn’t there, so I contacted support again, at which point I was told that I did not cancel it and I was told to do it again, only thing was there was no option to cancel it because it was already cancelled—which I told the support person. Then I was told that it was an “Apple” problem.  According to Apple, it was a Fitbit problem.  I am not going to be a rat in a maze trying to find the door, which is how I was feeling at this point.That was just one of the problems, there were others—like the DND light coming on at night every time I moved (which according to the Fitbit community is a common glitch that cannot be fixed), or the Fitbit not syncing “all of a sudden” (which is another glitch according to the Fitbit community), or every time my wrist tapped the desk, or the key board, or anything for that matter, the Inspire 2 would buzz consistently and sometimes when I wasn't moving at all--it would buzz even with notifications turned off (which was very annoying—and which I could not find a fix for). Some of the good...I loved the food, water and exercise logs. They were so easy to use and had many food choices--loved the scan barcode feature too. I love that I can choose my own ""face"" for when it shows the time, like a cat, or a dog, and there are other choices. But, with all of the downsides though, there is not enough good plus sides for me to keep it, even at the discounted price, so I'm returning it."
1.0,"Fitbit Inspire 2 Health & Fitness Tracker with a Free 1-Year Fitbit Premium Trial, 24/7 Heart Rate, Black/Black, One Size (S & L Bands Included)",Inspire 2 has defects,"Bought and returned two separate Inspire 2’s over past month. First one kept inadvertently going into Do Not Disturb (DND) mode. Was told by FitBit customer service that I had a faulty device and could exchange. Did so, but also noted multiple complaints about same issue from others. Clearly a design fault. Tried replacement device just in case and it has the same issue. I was missing calls and texts randomly and spending too much time troubleshooting. Spent some time on the phone with FitBit support again and was told they were aware of the issue and would email me for resolution (different dept?). That was a week ago...no email. So I’m sending second one back and reverting to my old Alta HR because even with a cracked screen, it’s more reliable than the Inspire 2. Disappointed in the product and customer service."
