rating,product,rev_title,rev_body
5.0,Oculus Quest 2 — Advanced All-In-One Virtual Reality Headset — 64 GB,Initial impressions: Blown away.,"WOW. That's my reaction to my first few hours with the Oculus Quest 2. I intend to update this review as I spend more time with the device, but here's my preliminary review:Setup: Super easy. Out of the box you have the headset, 2 controllers, a glasses spacer, and a charging cord & adapter. That's it. The controllers run on a single AA battery each, so you pull a little tab to turn those on then turn on the headset. The headset then walks you through setup and a quick update. You NEED to use the Oculus app on your phone at this point so if you don't have an Oculus app and account setup, you'll be prompted. I was up and running and updated in about 10 minutes, and the battery was at 59% out of the box.The final step of setup has you draw a ""guardian"" boundary around you, which is intended to keep you from knocking into furniture and obstructions in your room. It has an option for standing as well as sitting which is a really nice feature, as a big grid will pop up and block your view if you stray close to the line.And then you're off to VR experiences!Screen: The clarity is very impressive. I have only ever experienced PlayStation VR, but this is considerably better looking. Text is really crisp and colors look great. Everything looks clear and smooth. If it looks blurry to you, you may need to adjust the headset up/down/left/right on your face and try the 3 different lens spacing options to get the best clarity.Sound: The headset has speakers built into it, which sound surprisingly good. I played a few levels of Beat Saber and it actually wasn't bad. Kinda like watching a video on your phone's speakers... good enough, but not going to blow you away. There is a 3.5mm headphone jack which you'll want to use for the best sound quality and immersion.Fit/Comfort: The headset has a foam cushion that presses against your forehead and cheeks. It is relatively comfortable but not as good as the PlayStation VR version, particularly because the foam gets damp if you sweat, while the PSVR has more of a rubbery material that wipes off. The straps holding the headset on are fabric and velcro which I was worried about at first, but you can actually get a pretty solid fit after some adjusting. The only downside here is that it won't be as simple to switch back and forth between other players. The headset does start to weigh on your face after extended periods of time but that's the nature of the beast with VR.Gameplay/tracking: This device requires no external sensors and instead tracks the controllers with cameras and accelerometers/gyroscopes. I am very impressed by the tracking. Beat Saber is a good tracking test as it requires really quick movements all over in front of your body and it never lost tracking that I noticed.Controllers: If you're new to VR, you get a controller for each hand with a few buttons and a joystick. Like an advanced Wii-mote or an Xbox controller cut in half with a plastic ring on top. The button layout is intuitive and comfortable, everything is easily within reach. I'm actually a fan of these running on AA batteries as that means no downtime for charging as long as you have extras laying around. I had a few times I wanted to play PSVR and had to wait for controllers to charge.Overall: I believe this device is VR's best shot to become mainstream. You can use it anywhere (indoors), with no wires and no PC or PlayStation required. It just works. It is relatively affordable and the library of VR experiences is steadily growing and already includes some amazing options. I am excited to see what the next few years of VR is like now that developers have this high performance standalone device in their hands.Disclaimer: You NEED a Facebook account for this device. If you're not a fan of Facebook, you'll need to look elsewhere."
5.0,Oculus Quest 2 — Advanced All-In-One Virtual Reality Headset — 64 GB,1st,first
5.0,Oculus Quest 2 — Advanced All-In-One Virtual Reality Headset — 64 GB,"Extremely impressive, especially for the price","I've owned and tested 15 different VR headsets for my Youtube channel and this is the second highest resolution I've used (after the HP Reverb Pro) - that list is: HP Reverb Pro, Oculus DK2, CV1, Rift S, Go, Quest 1, Quest 2, HTC Vive, Vive Pro, Cosmos, Lenovo Explorer, Samsung Odyssey, Odyssey+, Pimax 4K, Pimax 5K+, OSVR and PSVR - so yeah, just a few.Short version - if you want a standing, roomscale headset for that AND PC VR this is the headset you want. If you play seated VR and don't care about roomscale you want the HP Reverb Pro.Pros:VERY clear image quality, nearly zero SDE (screen door effect)Fantastic priceGreat game selection (with the proper USB cable play any Steam VR game)Cons:Headstrap is pretty bad as you need to keep it very tight or it will ""sag"" on your face (so you really want the Elite strap which I'll review soon)Facebook will be required by the end of 2023 to even use it (but isn't quite yet)Faceplate material is rather scratchy and uncomfortable"
5.0,Oculus Quest 2 — Advanced All-In-One Virtual Reality Headset — 64 GB,Switched from PSVR to Oculus Quest 2.  Won't go back!!!,"I've owned the PSVR on Playstation since it came out.  Loved it, although, a few things that I have to  mention to help my comparison to the OQ2...1. Hated the cords constantly getting tangled.  Not only that but if you didn't take care of the cords once your done playing, over time they start to crimp and I was worried that at some point the internal wires would snap making the headset useless.2.  The 180 degree view.  Anytime I turned my head to far left or right, the tracking would go nuts.  Same with motion controllers, they would jump out of view and you'd have to shake it to get it to re-track.3.  The headset in my honest opinion sucked.  It was to tight.  I tried everything and eventually unhooked the rubber band straps on both sides.  This allow it to sit on my head without squeezing the blood from my brain.  This very fact was the main reason I got motion sickness.  Once I relieved that pressure, I no longer got sick while playing.4.  Screendoor.  Wasn't bad but noticeable.NOW... the OCULUS QUEST 2:Blown away.  No cables to mess with, resolution is clear and sharp, headset on my head doesn't squeeze the life out of my brain, no screendoor effect.1.  The headset.  Honestly, I was actually nervous to put it on.  I was afraid I'd put this thing on and I'd get sick like the PSVR.  NOPE!  I was shocked.  The headset fit on my head perfect, no pressure points cutting blood from my brain... I played for 2 hours straight and didn't get sick.  My face felt like the blood had drained due to the pressure on my cheekbones but overall, awesome.2.  I've never played VR with high resolution.  I'm used to the PSVR and screendoor.  Fuzzy words, FOV sometimes sucked.  The Quest 2..  wow.  I just wasn't ready for high resolution and everything so clear, easy to read, no screen door.  What a huge difference.  I can see why people fork out 1K on higher end VR units.  Worth it.  Which is why the Quest 2 is a shocking piece of tech for the price.  Can't beat it.3.  360 degrees.  Being so used to 180 degrees,  it was awesome when I drew my perimeter around the living room and could walk in any direction without cables tripping me up.  Sounds funny but it was liberating to stand, sit, crawl, jump and walk anywhere.  Again, blown away and wish I would have jumped to wireless sooner.So many other things that blew my mind and in my opinion it blows the PSVR away.  YES, PSVR does have some great exclusives BUT the Quest 2 has Steam and all the games from FB with Virtual Desktop.  It's just awesome.  No other words for it.  My son owns PSVR and put it on last night as well...  it ruined it for him.  He instantly wants to get rid of his PSVR and switch to Quest 2.  Just an awesome piece of tech for the price.  No regrets."
5.0,Oculus Quest 2 — Advanced All-In-One Virtual Reality Headset — 64 GB,Just amazing!! Wow!!,"Your browser does not support HTML5 video.


   This is coming from a new VR user the last time I used VR was when I was using my Gear VR.  The oculus quest 2 is so easy to set up.  All you have to do is put on the headset and follow the instructions.  The only thing I have to complain about which I will not take off any stars for it is the head strap.  I'll probably end up ordering the head strap that is for the oculus quest 2.  Other than that this thing blows me away I would highly recommend purchasing one of these for yourself. And immerse yourself in VR."
5.0,Oculus Quest 2 — Advanced All-In-One Virtual Reality Headset — 64 GB,Pretty cool,Got it first day haven't touched it but my dog loved using it but could only use the peanut butter flavor for him to want it.
5.0,Oculus Quest 2 — Advanced All-In-One Virtual Reality Headset — 64 GB,"Incredible, next level device and experience","I tried a couple of headsets a while back, and was consistently underwhelmed. Yes the sense of height and all that was incredible, and of course I saw the potential. But for a reasonably decent experience you had to be tethered to a PC, and it was always a bit of a wrestling match. ""Not ready for prime time"" was always my assessment.That's over. OVER. This device is next level beyond belief. After being wowed by the Home menus and so forth, I checked out a bunch of the freebie immersive animations, videos, etc. Very cool, a big step forward, but I again thought, ""is this it...if it is this device will be gathering dust in a couple of months.""So, I said let me check out a premium pay-for option. I played ""The Room"" as my first game purchase. I had actually played one The Room games on my iPad and enjoyed it, so eh why not.For two hours I did nothing but say ""OH MY GOD."" My wife got so sick of hearing me that she said LET ME SEE!!!! I put the headset on her, told her a couple of basic things, and she was off and running. Same reaction. OH MY GOD...OH...MY...GOD!!! I AM ON THE HOLODECK, I AM ACTUALLY ON THE HOLODECK!!!The immersive totality exceeded my expectations in every way. Sure, you're dealing with a big thing strapped to your head, and after a while you do find yourself adjusting it a lot (you eventually learn it's not supposed to sit on your nose, it's supposed to sit on your cheek bones, which not only makes it more comfortable, it makes the view clearer). I'm hoping the premium head strap thing cleans that up.Aside from that, I could go on and on. Even the sound quality kicks ass. (Some criticize it for not having earbuds, I think that might be a good thing...the isolation would be so complete you'd be completely unaware of your surroundings, which could be dangerous). And that was only with one game, some demos, and some casual exploring of the overall capability. There are apps that let you share your computer screen and WORK in a virtual space that other people can join and collaborate in. IT IS ASTONISHING and I'm going to try that out today (I'm a coder/techie guy by trade).Folks, unless you are some kind of VR prima donna, I absolutely assure you that quality VR for the masses has arrived. The device is an astonishing, next level triumph. I've been into video games for 45 years, even dabbled in development, and envisioned this experience, thinking maybe one day before I die I might see a piece of it.If this is where it's at now, then fully immersive Holodecks are really just a handful of engineering challenges now. In twenty years I have little doubt you'll be able to put some device in the middle of your room, turn it on, and get this experience.Next: objects that you can place in your playfield that you can physically interact with. Simple cubes and spheres that look like rocks, animals, anything. The controllers already do it; in ""The Room"", if you set the controllers on the ground and step away, you see a pair of leather gloves lying on the floor (your hands). You just walk over and pick them up.Again, on and on I could go. Astonishing. Well done Oculus."
5.0,Oculus Quest 2 — Advanced All-In-One Virtual Reality Headset — 64 GB,"This thing can do a lot. Exceeded my expectations, even after looking at many reviews.","I'm giving this five stars because of the price, even though there are some slightly annoying things. It can take a bit of work positioning it on your face to get it as clear as possible. The face pad absorbs sweat, and since I'm using it mostly for exercise, I need to buy something like a silicone cover or a more easily washable replacement pad. Unfortunately, there are no-brand Chinese options, which I don't trust on my face, and most everything else is out of stock. It should include a good silicone cover in my opinion.Compared to the model I tried a few years ago, the pixels are barely visible, and overall the clarity is good. The view isn't very wide, but again - price. I was going to return mine because it looks like there is something on the inside of the lens or something, but I read that this is from light reflecting around inside and off your eyes. It comes and goes, so it may be just reflections that change with the content. I wish I could compare it to another to know if mine has an issue.I'm amazed how powerful the processor is - haven't experienced any stuttering of any operation. Streaming a virtual desktop from one computer to the headset (using Virtual Desktop app) and then casting to another computer worked great.Most people probably know a little about what these things can do. But it takes a while to get the complete picture. The details can get confusing, and we're still learning. For example, I bought a link cable because a YouTuber said it allows you to play PC games and see the PC desktop. But there is a wireless option (uses WiFi), the Virtual Desktop app, that cost about $30. The cable didn't work anyway, so I returned it. The company that makes the Virtual Desktop app has an accompanying desktop app that does the streaming. That let's you see the PC desktop in various settings, but you need to install the large Oculus Desktop application to play PC games with the headset. But none of our computers have a graphics card that is powerful enough. You need a beefy computer to play PC games on the Quest 2.But you don't need a computer at all to use the Quest 2. There are a ton of games that play natively on the Quest 2 that you download from the Oculus Quest app store. The computer inside is powerful enough to support decent games. There won't be the visual detail of a PlayStation, Xbox, or PC games, but that doesn't detract from the potential fun factor.My son is currently experimenting with Sidequest, which is a desktop program that makes it easy to ""sideload"" applications, separate from the Oculus app store. There doesn't seem to be anything wrong with doing that, and provides a bunch of extra applications and capabilities.My 80+ year old dad asked ""what do these things do for you?"". I'll try and do my best to explain. If you are going to purchase one and want to discover things for yourself, then don't read further. What follows is more for people who aren't very familiar with these VR headsets.The headset has two displays so each eye can see a different image, allowing it to simulate depth perception. This is a big deal. Even though the display isn't as clear as a nice monitor, the headset makes you feel like you are really ""there"" - more on what ""there"" can be later. I live near mountains and find that a picture doesn't ever allow a viewer to get the feel of the scale and magnitude of the view you experience when standing there. I think this is because as you stand there and look around, your mind forms a detailed internal model of the mountains as you move your gaze around. When you look at a picture, the depth is hard to ""see"" - you have to infer distance intellectually, not automatically. And even if you could pan a picture back and forth on a computer screen, for some reason you just don't get the same impression. The difference is dramatic to me. So when you are looking through the headset at a 3D scene, your brain accepts that you really there.The headset has cameras in the four front corners that track your head movements, and the position and orientation of the controllers you hold in each hand. So when you turn or move your head, the view of the virtual world moves very precisely and close to what would happen in the real world. This can really help avoid feeling of nausea. I personally get a little sick if I play a 3D game on Xbox for a long time. When you pan your view left and right, the mismatch between what your eyes see, and the inner ear signals reaching your brain cause nausea. Once it sets in, it can last for hours. So having the headset move the virtual world to match your head movements, when standing still and looking around, is way better. This only applies when standing still. The opposite is true when you move in virtual space. Some 3D movies move you through virtual space, or a game may allow you to push the joystick to move around. I find that this makes me feel sick immediately. If the app has an option to ""teleport"" instantaneously to another point in space, then it doesn't make me sick. The quick transition is handled better by our brains. Some games have options to mitigate these effects using blinders, motion blur, or vignette effects when moving. This limits what you see when moving, so you can kind of see what is happening, but your brain isn't getting overloaded by it.Besides tracking your head movements, the cameras track the position and orientation of the hand controllers. This allows you to precisely point to things in VR, or interact with VR in other ways. There's a demo application that lets you pick up a virtual paper airplane and throw it. The airplane and other objects appears right in front of you on a desk. You reach out and position your hand over the object and pull both triggers to simulate gripping the object. To make it less annoying, it doesn't matter where you grip the airplane - it orients automatically. You perform a throwing motion and release the triggers at the right time. There is a ball on a string that you can punch, like tether-ball. I mention these only as examples. It's completely up to the application how hand motions translate to VR actions. A soccer app could make your hand movements affect the player's feet, because the headset can't track what your feet do. But most apps require hand actions, and the game mimics your real life motions in VR, which is very intuitive.The Quest has the ability to track your hand positions without having to hold the controllers. It does a great job of seeing your hand and finger positions. But it is limited in some ways. If you touch your hands together, it can't tell what it is seeing and your hands disappear in VR. And it isn't as precise as tracking the controllers, so if an app requires precise pointing, for example, you'll have to use the controllers.Given that the device can display any virtual ""world"" or space, and each controller has two triggers, two buttons, and a joystick, the possibilities of what these things can do is huge. They've been around for a few years, but they aren't mainstream just yet. The Oculus Quest 2 is selling well and the future looks bright.When you first turn it on, complete set-up, and log into your Facebook account (required), you'll see a couple of virtual flat panels with icons. Just like any operating system, the look of the interface will change over time. The controllers emit a virtual pointer that extends a few feet in virtual space, and the exact spot they are pointing to is shown with a small white dot. You click the main front trigger to select the option you are currently pointing to. You can open the app store, a browser, the ""TV"" app, settings, etc. Of course you can open an app that you've downloaded and installed.There are a ton of options. Here are some examples. You can install the Netflix app and watch content while sitting in a virtual rustic lodge, with a big screen surrounded by stonework. There are many other options for viewing 3D video content. These let you fly over mountains, or view ants up close doing their thing, and everything in-between. You can browse any web site. Some web sites contain 3D apps that you run by clicking the little headset icon (typically) to jump into 3D mode. There are educational apps - I saw one where ""you"" are in an artery and can reach out and examine white and red blood cells. You can view concerts or other entertainment, like comedians, very ""close up"". There are social apps where you can visit with other people in various virtual environments. There are virtual games like paintball. I found that games that allow you to shoot arrows are really cool - you bring the controllers up and together, pull one trigger to grab the string, and then pull a controller back from the other to draw the bow. Letting the trigger go lets the arrow fly. You can shoot surprisingly accurately. There are apps to create artwork and 3D models. Who knows what people will dream up?When I first started using this device, I found myself sometimes stuck, not knowing how to exit the app. In general once you figure this stuff out, most apps honor the common conventions, but some do their own thing and you have to experiment.There are options to record a movie of what you are seeing and doing, or take a screenshot.Personally, I'm using the FitXR exercise app the most. FitXR is a punching and dancing workout app. My legs and arms are tired from punching at balls and ducking under beams that come at you. So far, I haven't felt any tedium exercising this way. You have to focus and keep moving and you just lose yourself. There are a number of these types of games, Beat Saber being very popular, but I think they can be much better and more diverse. Some more advanced exercise apps require a monthly fee.Some games require you to move around a little. To keep you from running into walls or furniture, the Quest has two ways to define your movement boundaries. Once defined, when you get close to an edge, a virtual mesh wall gradually appears, and disappears when you move away from the edge. If you move outside the boundary, it goes into pass-through mode where the game stops and you can see your room through the external cameras. You can either define a small circular boundary right where you sit or stand, or you can draw a boundary of any shape to match your room obstacles. In the second case, it shows your real space through the cameras and you draw the boundary line on the floor by pointing and drawing with a controller. Very slick. At first, it was hard to trust, but as saw how well it works, I don't worry anymore. Even when I go to a different floor to get a drink or something, and come back, the boundary is still defined perfectly, and I can continue the game.I hope this helps some decide if the Quest 2 is for them."
5.0,Oculus Quest 2 — Advanced All-In-One Virtual Reality Headset — 64 GB,Incredible!!,Bought this for my 14-year-old son. I tried it on and instantly was in another reality...I have never experienced anything like it! It will be fun to see what other games are like..where you interact with non-existent creatures!  I'd love to see a glove made with sensors rather than manipulating your virtual hands with buttons.
5.0,Oculus Quest 2 — Advanced All-In-One Virtual Reality Headset — 64 GB,4stars on amazon but 5star product,"My family and I love it! Listen, all these negituve reviews about having to have a favebook account are true, but ao what? I've had a Facebook account for almost a decade and havent had it banned once. Selling my info? So what? I search for a product and then products I'm interested in show up in my feed, Great!As for the headseat, it's so much fun to feel like your wielding a lightsaber with Darth Vader towering over you. For an old Socom ps2/3 player plus a gun nut like me to play Onward is an amazing experience. The rest of the games the family loves.Pros:The strap it comes with works for everyone in my family. Not buying an upgraded headstrap for 50bucks.The headset is lightweight and you wont really notice it when you are playing.Cons:You want to get a longer cable then what comes with the device. Not the $80 one that is made for it, I found a 10ft one on amazon for $14 (UGREEN USB C to USB C). I also use a 15' one.It takes over an hour to charge and only has a 2hr play time. We use a little backpack with a portible charger to prolong the playtime.If you do not mind the Facebook situation, buy one and be amazed by your VR experience"
5.0,Oculus Quest 2 — Advanced All-In-One Virtual Reality Headset — 64 GB,Thoughts after a week of having my Quest 2,"So, I've had my Quest 2 for a week and here are my thoughts on it:1. Awesome VR headset. I've had some minor exposure to others (Playstation and others), but this my first dive-in, and I have to say it is great! The graphics, sound, and feedback from the controllers are amazing!2. Ability to play ""Beat Saber"". TBH, ""Beat Saber"" (a game where you slice and dice cubes to various songs) was one of the big reasons that I bought a Quest 2. I am proud to say that the experience is truly amazing. I get a good cardio workout while playing this amazing game.3. Immersion: The immersion factor is a 10 out of 10. I have done virtual exploration of Mars, riding along with folks in ""squirrel suits"", explored reefs, and other fantastic adventures with the Quest 2. Whilst playing ""Vader Immortal"", in the opening scenes, the scene reminiscent from ""Star Wars: A New Hope"" was just jaw-dropping gorgeous! It is all amazing - giving me the ""I am there"" experience one would expect from a virtual reality experience.With that said, there are some things to bear in mind:1. Facebook: Let's get the elephant out of the room: Facebook did buy Oculus and the EULA states that you need to use a Facebook account since the Oculus accounts (by themselves) are going away at the end of 2020. Thus, you will need to use your Facebook for everything Oculus. If you aren't comfortable with that, don't buy the Quest 2. It's that simple, since having a Facebook is a requirement.2. Phone app: The Quest 2 set-up did require me to use my phone to complete part of the registration by downloading the Oculus Quest 2 app. After completing set-up, I have not had to use the Oculus app on my phone since then.3. Pay to Play: Just like with any other gaming system, you will need to buy apps (games/fitness programs/etc.). A lot of the educational content is free, but entertainment tends to come with a price tag. Some are free with a monthly subscription, whilst others are pay once and then are done. Just know what you are getting into, and realize that the Oculus store is the only source of the content (afaik), so there isn't an option of doing price comparisons between different stores.4. Accessorizing: You will definitely need more than just the base unit if you want to get the most out of your Quest 2. I have purchased the extra battery/improved headband combo which definitely increased the VR session time. The Oculus branded case is also nice. If you are into intense gaming/fitness (or are planning to do so), you should get a silicone or other cover for the edges of the face, since you will generally sweat and that will make the absorbent sponge material on the Quest 2 rather gross. With a cover, you can wipe away the sweat and still not gross out anyone else wanting to play. You may want to invest in headphones if you are going to be in areas where you don't want to disturb others. Also, unless you ""cast"", nobody will be able to see what you are doing in the VR world, so that may be something to consider for a purchase. All in all, if you don't mind the FB requirement and the fact that you will need to spend a lot more than just the initial layout for the unit itself, then you will really enjoy the experiences that the Quest 2 has to offer."
5.0,Oculus Quest 2 — Advanced All-In-One Virtual Reality Headset — 64 GB,"Impressive technology, highly recommend getting a new strap though.","I haven't used it much but I'm considering replacing it with my HTC Vive. The resolution is great but the FOV isn't as big as PC headsets like the Vive and the Index but it still does a good job. This isn't an issue with the lens/strap fit of the headset, the Quest 2 only uses 1 LCD panel, so you end up seeing the edge of the screen. 90hz is amazing and the tracking is really PC like, very comparable if not better than the HTC Vive.It's really something else and I like this approach to VR more than smartphone VR and PC VR. Having the 360 room-scale freedom to take it wherever, play it anywhere, with no tether and running natively is incredible. Setting up new VR areas is easy and since there's no tether, you could literally make the Oculus Quest's playspace your entire house if you wanted to.I haven't even played a lot of games on it or even tried finger tracking/oculus link so I don't have much of a review atm since I just got the headset a day early. I will say I'd highly recommend getting the better strap and a better face mask, they're literally must haves for comfort. The original strap is literal garbage and takes forever to get the perfect fit and still isn't that comfortable. The battery strap looks really cool and I'll be trying to get that when it comes out."
5.0,Oculus Quest 2 — Advanced All-In-One Virtual Reality Headset — 64 GB,Get it but be careful!,"DO YOUR RESEARCH!!!I cannot stress this enough. You CANNOT use Steam on this without a good computer for the Link Cable. Other wise you can only buy games from the Oculus app.Warning aside, I love this thing to bits! I've been really looking forward to finally playing some VR with my friends. Sure there are some limitations in some games but at least I still get to play with them!Totally worth the money!"
