rating,product,rev_title,rev_body
1.0,"Vera Wang Princess Eau de Toilette Spray for Women, 3.4 Fl Ounce",Headache From Hell,"Almost 10 years ago, this was my FAVORITE perfume. Everytime I hear Vera Wang I think of it. This doesnt go to say that this happened because its a knock off (because from what I remember of it, it looks 100% legit) it could just be that senses change as you get older but this stuff gave me the WORST headache. So bad I felt like I couldnt get away from the smell and almost vomited. On one wrist, it smelled ok.. on the other it smelled like old lady perfume. I gave it to a co worker and I wont be surprised if she throws it away too. It is just not for me, which sucks because I was really looking forward to it. My advice for online ordering of perfume, unless you know exactly what you like and can order it from a reputable website, dont. Just go into the store and test out some and make sure you like it so you dont waste your money."
1.0,"Vera Wang Princess Eau de Toilette Spray for Women, 3.4 Fl Ounce",Horrible,"This perfume arrived yesterday. It smells like pure alcohol! Very cheap smelling, does not smell nice like the original.  Very strong. Beware. Wasted 24.00, now I'll have to go IN store and re-purchase."
1.0,"Vera Wang Princess Eau de Toilette Spray for Women, 3.4 Fl Ounce",Fake? Should have went to my local Kohls to purchase instead.,"Extremely floral scent. You look at the beautiful packaging and you think it's going to be a playful, youthful scent.  In Vera Wang style I expected some refinement of floral tones but this just smelled like old lady Avon perfume. Went to local Kohls and it didn't smell anything like this stuff. Amazon isn't a reliable source for quality anymore. In fact I don't think they have any quality control what so ever... I highly suggest as consumers we start investing in our local stores again that hire local workers and pay local taxes."
1.0,"Vera Wang Princess Eau de Toilette Spray for Women, 3.4 Fl Ounce",Does not smell like the real thing.,"About three weeks ago, I tried this scent on in a department store.  Loved it so I decided to try finding it cheaper on Amazon.  Reviews were mixed but with an average of over four stars, I thought it was worth a shot.Wrong.  Wrong. Wrong.This smells NOTHING like what I tried on in-store.  This product smells like baby powder.  I can't stand the smell.Cheap. Gross. Knockoff.Buyer beware."
1.0,"Vera Wang Princess Eau de Toilette Spray for Women, 3.4 Fl Ounce",Smelled Off,"Unfortunately I couldn't use this perfume for more than a day without getting a migraine.The box smelled like odd chemicals but I thought it was just the packaging, since I've worn this specific brand of perfume and I've loved it for so long.When I put it on- it smelled funny, but I thought I could at least give it a day- but by my lunch break I had to run home and take a shower.It's a shame because I truly do love this perfume, just not from this supplier."
1.0,"Vera Wang Princess Eau de Toilette Spray for Women, 3.4 Fl Ounce",Fake,"Bought this based on good reviews (4.6 stars). However, I should have listened to the 1-star reviews (only 4%)! I thought: well, maybe they just got the bad batch ... But no they were on target. This smells like alcohol. Clearly it's a fake. Buyer Beware: There is no return for this product."
1.0,"Vera Wang Princess Eau de Toilette Spray for Women, 3.4 Fl Ounce","Longevity Zip, beautiful package, pleasant fragrance, worthless product.","It is obvious Vera Wang put the money in the glass bottle and packaging because there is zero longevity.  The scent is pleasant, but fades as soon as it dries. I don't understand why there is a metal crown and ring on the bottle because there is no functionality, it leaves you scratching your head and asking WHY? If Eau de Toilett means weak fading scent, they nailed IT. Reminds me of Avon."
1.0,"Vera Wang Princess Eau de Toilette Spray for Women, 3.4 Fl Ounce",Dont waste your money on this product.,"Horrible product,  this so called ""scent"" smells like talcum powder from the early 1900's.Good thing the ""scent"" doesn't last every long.  Im not convinced this is the real Vera Wang Princess parfume, not at all."
1.0,"Vera Wang Princess Eau de Toilette Spray for Women, 3.4 Fl Ounce","Do not buy, not as described.","Not as described at all. Color was amber not purple and had a weird smell for the orig Vera Wang Princess perfume. Returns not accepted and went thru length process w Amazon to get a refund, they were great about it. Initially contacted seller who said they’d email me a return label and never did."
1.0,"Vera Wang Princess Eau de Toilette Spray for Women, 3.4 Fl Ounce","Smells like old, musty baby power","DO NOT BE DUPED!!! Smells like old, musty baby power! YUCK! This can't be real! Bad reviews were not there when I placed in cart, now I wish I had read before purchase. Also, this seller will not accept returns....Major Red Flag!"
